Symbol Prob HuffmanCode

! 0.0088 011111111111111111111110
, 0.0022 0111111111111111111111110
. 0.011 0111111111111111111110
A 0.0813 0110
B 0.0088 01111111111111111111110
C 0.0264 0111111111111110
D 0.0308 01111111111110
E 0.1165 1
F 0.0154 0111111111111111110
G 0.0154 011111111111111110
H 0.033 011111111110
I 0.0286 011111111111110
J 0.0022 0111111111111111111111111
K 0.0242 01111111111111110
L 0.0484 01111110
M 0.033 01111111110
N 0.0549 011110
O 0.1077 010
P 0.0308 0111111111110
R 0.0505 0111110
S 0.0549 01110
T 0.1121 00
U 0.0418 011111110
V 0.011 011111111111111111110
W 0.0132 01111111111111111110
Y 0.0374 0111111110
